Date,Month_Num,Year,Quarter_Num,Week_Num,Business_Day,Week_Day
7/1/2023,7,2023,3,26,N,Saturday
7/2/2023,7,2023,3,27,N,Sunday
7/3/2023,7,2023,3,27,Y,Monday
7/4/2023,7,2023,3,27,Y,Tuesday
7/5/2023,7,2023,3,27,Y,Wednesday
7/6/2023,7,2023,3,27,Y,Thursday
7/7/2023,7,2023,3,27,Y,Friday
7/8/2023,7,2023,3,27,N,Saturday
7/9/2023,7,2023,3,28,N,Sunday
7/10/2023,7,2023,3,28,Y,Monday
7/11/2023,7,2023,3,28,Y,Tuesday
7/12/2023,7,2023,3,28,Y,Wednesday
7/13/2023,7,2023,3,28,Y,Thursday
7/14/2023,7,2023,3,28,Y,Friday
7/15/2023,7,2023,3,28,N,Saturday
7/16/2023,7,2023,3,29,N,Sunday
7/17/2023,7,2023,3,29,Y,Monday
7/18/2023,7,2023,3,29,Y,Tuesday
7/19/2023,7,2023,3,29,Y,Wednesday
7/20/2023,7,2023,3,29,Y,Thursday
7/21/2023,7,2023,3,29,Y,Friday
7/22/2023,7,2023,3,29,N,Saturday
7/23/2023,7,2023,3,30,N,Sunday
7/24/2023,7,2023,3,30,Y,Monday
7/25/2023,7,2023,3,30,Y,Tuesday
7/26/2023,7,2023,3,30,Y,Wednesday
7/27/2023,7,2023,3,30,Y,Thursday
7/28/2023,7,2023,3,30,Y,Friday
7/29/2023,7,2023,3,30,N,Saturday
7/30/2023,7,2023,3,31,N,Sunday
7/31/2023,7,2023,3,31,Y,Monday
8/1/2023,8,2023,3,31,Y,Tuesday
8/2/2023,8,2023,3,31,Y,Wednesday
8/3/2023,8,2023,3,31,Y,Thursday
8/4/2023,8,2023,3,31,Y,Friday
8/5/2023,8,2023,3,31,N,Saturday
8/6/2023,8,2023,3,32,N,Sunday
8/7/2023,8,2023,3,32,Y,Monday
8/8/2023,8,2023,3,32,Y,Tuesday
8/9/2023,8,2023,3,32,Y,Wednesday
8/10/2023,8,2023,3,32,Y,Thursday
8/11/2023,8,2023,3,32,Y,Friday
8/12/2023,8,2023,3,32,N,Saturday
8/13/2023,8,2023,3,33,N,Sunday
8/14/2023,8,2023,3,33,Y,Monday
8/15/2023,8,2023,3,33,Y,Tuesday
8/16/2023,8,2023,3,33,Y,Wednesday
8/17/2023,8,2023,3,33,Y,Thursday
8/18/2023,8,2023,3,33,Y,Friday
8/19/2023,8,2023,3,33,N,Saturday
8/20/2023,8,2023,3,34,N,Sunday
8/21/2023,8,2023,3,34,Y,Monday
8/22/2023,8,2023,3,34,Y,Tuesday
8/23/2023,8,2023,3,34,Y,Wednesday
8/24/2023,8,2023,3,34,Y,Thursday
8/25/2023,8,2023,3,34,Y,Friday
8/26/2023,8,2023,3,34,N,Saturday
8/27/2023,8,2023,3,35,N,Sunday
8/28/2023,8,2023,3,35,Y,Monday
8/29/2023,8,2023,3,35,Y,Tuesday
8/30/2023,8,2023,3,35,Y,Wednesday
8/31/2023,8,2023,3,35,Y,Thursday
9/1/2023,9,2023,3,35,Y,Friday
9/2/2023,9,2023,3,35,N,Saturday
9/3/2023,9,2023,3,36,N,Sunday
9/4/2023,9,2023,3,36,Y,Monday
9/5/2023,9,2023,3,36,Y,Tuesday
9/6/2023,9,2023,3,36,Y,Wednesday
9/7/2023,9,2023,3,36,Y,Thursday
9/8/2023,9,2023,3,36,Y,Friday
9/9/2023,9,2023,3,36,N,Saturday
9/10/2023,9,2023,3,37,N,Sunday
9/11/2023,9,2023,3,37,Y,Monday
9/12/2023,9,2023,3,37,Y,Tuesday
9/13/2023,9,2023,3,37,Y,Wednesday
9/14/2023,9,2023,3,37,Y,Thursday
9/15/2023,9,2023,3,37,Y,Friday
9/16/2023,9,2023,3,37,N,Saturday
9/17/2023,9,2023,3,38,N,Sunday
9/18/2023,9,2023,3,38,Y,Monday
